time_str,latitude,longitude,depth,altitude,heading
00:00:00.330,18.340602,-64.977028,1.02,0.89,1.0
00:00:00.833,18.340602,-64.977028,0.98,0.9,359.4
00:00:01.338,18.340602,-64.977028,0.99,0.91,357.9
00:00:01.842,18.340601,-64.977028,0.99,0.92,357.6
00:00:02.345,18.3406,-64.977028,0.97,0.82,359.7
00:00:02.845,18.340599,-64.977028,1.0,0.72,359.4
00:00:03.346,18.340598,-64.977028,0.95,0.8,356.2
00:00:03.846,18.340596,-64.977028,0.92,0.84,356.8
00:00:04.350,18.340595,-64.977028,0.93,0.84,0.1
00:00:04.853,18.340593,-64.977028,0.95,0.89,0.6
00:00:05.354,18.340592,-64.977028,0.97,0.92,3.4
00:00:05.858,18.340591,-64.977028,0.98,0.93,360.0
00:00:06.361,18.340589,-64.977028,0.96,0.81,359.7
00:00:06.865,18.340588,-64.977028,0.98,0.87,358.1
00:00:07.365,18.340586,-64.977028,0.98,0.89,357.8
00:00:07.865,18.340585,-64.977028,1.01,0.9,357.7
00:00:08.366,18.340583,-64.977028,1.0,0.9,359.7
00:00:08.866,18.340582,-64.977028,0.97,0.91,359.5
00:00:09.366,18.34058,-64.977028,1.0,0.91,3.0
00:00:09.870,18.340579,-64.977029,0.98,0.84,2.1
00:00:10.373,18.340577,-64.977029,1.03,0.86,359.4
00:00:10.877,18.340576,-64.977028,1.02,0.86,358.0
00:00:11.378,18.340574,-64.977029,0.98,0.83,1.4
00:00:11.882,18.340572,-64.977028,1.0,0.69,0.5
00:00:12.386,18.340571,-64.977029,1.02,0.68,0.9
00:00:12.889,18.340569,-64.977029,1.0,0.74,1.3
00:00:13.390,18.340568,-64.977029,1.01,0.76,359.2
00:00:13.893,18.340566,-64.977029,1.01,0.79,359.4
00:00:14.397,18.340565,-64.977029,1.03,0.7,2.2
00:00:14.901,18.340564,-64.977029,1.01,0.61,4.1
00:00:15.402,18.340562,-64.977029,1.04,0.68,3.9
